life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under-five_deaths,polio,total_expenditure,diphtheria,hiv/aids,gdp,population,thinness_10-19_years,thinness_5-9_years,income_composition_of_resources
56.0,358.0,72,8.24,256.1225243,75.0,831,21.5,110,75.0,3.3,75.0,2.6,4598.2499880000005,259615.0,8.8,8.6,0.508
51.0,361.0,75,8.06,239.89139210000002,72.0,831,21.0,115,73.0,3.38,71.0,2.5,4299.12889,24218565.0,8.9,8.8,0.495
49.6,365.0,78,7.8,191.6537407,77.0,831,2.4,121,81.0,3.39,77.0,2.5,3529.5348200000003,23369131.0,9.1,9.0,0.488
49.1,369.0,81,7.01,212.92293250000003,61.0,831,19.8,127,63.0,4.37,6.0,2.5,3347.84485,22549547.0,9.3,9.2,0.48
48.7,371.0,84,7.07,249.9101958,69.0,265,19.3,133,65.0,3.84,69.0,2.6,3868.5788829999997,2175942.0,9.5,9.4,0.46799999999999997
48.2,375.0,87,6.35,184.8213446,73.0,831,18.8,138,75.0,3.38,73.0,2.6,2878.837144,2997687.0,9.6,9.6,0.45399999999999996
47.7,381.0,90,5.84,25.08688824,,765,18.2,143,36.0,4.54,34.0,2.5,262.41514900000004,2262399.0,9.8,9.7,0.439
47.4,382.0,92,5.04,98.19145117,,258,17.7,148,39.0,4.1,38.0,2.6,1443.9919289999998,19552542.0,1.0,9.9,0.426
47.1,386.0,94,3.53,8.8667775,,29,17.2,152,4.0,4.71,4.0,2.5,141.86844,18865716.0,1.2,1.1,0.415
46.8,388.0,95,3.49,35.93349121,,831,16.8,155,4.0,4.41,4.0,2.4,779.468356,1823369.0,1.4,1.3,0.406
46.5,391.0,95,2.82,24.037942,,831,16.3,157,37.0,3.63,41.0,2.3,711.181716,17572649.0,1.5,1.5,0.401
45.7,44.0,95,2.58,30.35993647,,831,15.8,159,41.0,5.38,38.0,2.1,526.168743,16983266.0,1.7,1.7,0.391
45.6,48.0,95,1.85,15.88149254,,831,15.4,160,3.0,3.1,28.0,2.0,555.2969419,1644924.0,1.9,1.9,0.382
76.4,13.0,0,,0.0,99.0,0,47.7,0,86.0,,98.0,0.2,13566.9541,,3.3,3.3,0.784
76.2,131.0,0,8.56,1077.712092,99.0,0,47.0,0,96.0,5.54,98.0,0.2,12888.29667,,3.3,3.3,0.782
76.1,133.0,0,8.58,1077.712092,99.0,0,46.4,0,98.0,5.33,98.0,0.2,12224.86416,,3.3,3.3,0.7809999999999999
75.9,134.0,0,8.18,1077.712092,98.0,0,45.7,0,97.0,5.39,98.0,0.2,12565.44197,,3.3,3.3,0.778
75.7,136.0,0,7.84,1077.712092,99.0,0,45.1,0,99.0,5.65,98.0,0.1,11929.349909999999,,3.3,3.3,0.782
75.6,138.0,0,7.84,1077.712092,98.0,0,44.4,0,99.0,5.63,98.0,0.1,12126.87614,,3.3,3.3,0.7829999999999999
75.4,14.0,0,7.82,149.3587355,98.0,0,43.8,0,98.0,4.86,98.0,0.1,1312.4669199999998,,3.4,3.3,0.7879999999999999
75.2,142.0,0,8.27,180.7762695,98.0,0,43.2,0,99.0,4.69,98.0,0.1,1473.31923,,3.4,3.3,0.7859999999999999
75.0,144.0,0,8.64,257.96653080000004,97.0,0,42.6,0,98.0,4.27,98.0,0.1,14252.29452,,3.4,3.3,0.7809999999999999
74.8,145.0,0,8.93,216.3146941,99.0,0,42.0,0,99.0,4.34,98.0,0.1,12724.39377,,3.4,3.4,0.773
74.6,147.0,0,8.15,1077.712092,99.0,0,41.4,0,98.0,4.41,98.0,0.1,11371.93895,,3.5,3.4,0.0
74.4,149.0,0,7.28,22.86295206,97.0,0,4.8,0,97.0,4.21,97.0,0.1,1352.8374,,3.5,3.4,0.0
74.2,151.0,0,7.16,1077.712092,99.0,0,4.1,0,99.0,4.53,98.0,0.1,9739.82556,,3.5,3.5,0.0
74.0,153.0,0,7.21,927.4075855000001,99.0,0,39.5,0,93.0,4.41,98.0,0.1,9386.716451999999,,3.6,3.5,0.0
73.8,154.0,0,7.51,163.7676978,96.0,0,38.9,0,99.0,4.48,97.0,0.1,9358.154162,,3.6,3.5,0.0
73.6,156.0,0,7.27,1077.712092,,0,38.2,0,96.0,4.13,95.0,0.1,9875.161736,,3.7,3.6,0.0
76.3,116.0,8,,0.0,94.0,0,62.8,9,93.0,,94.0,0.1,13467.1236,43417765.0,1.0,0.9,0.826
76.2,118.0,8,7.93,847.3717462999999,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825
76.0,119.0,8,8.28,1001.796332,94.0,0,61.6,10,99.0,4.99,94.0,0.1,12976.63642,42539925.0,1.0,0.9,0.823
75.9,12.0,9,8.35,1077.712092,91.0,2,61.0,10,99.0,5.2,91.0,0.1,12969.7712,4296739.0,1.0,0.9,0.8220000000000001
75.7,12.0,9,8.11,1077.712092,91.0,3,6.4,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,0.9,0.816
75.5,121.0,10,8.15,187.61095500000002,94.0,17,59.8,11,95.0,6.55,94.0,0.1,1276.265,41223889.0,1.0,0.9,0.802
